2016-07-22-11:25,안산시청,4
2016-07-22-11:25,안산역,24
2016-07-22-11:25,시화호조력발전소,10
2016-07-22-11:25,성포동 경일초교 사거리,9
2016-07-22-11:25,상록구청,15
2016-07-22-11:25,대부바다향기 테마파크,11
2016-07-22-11:25,월피동 한양 APT,5
2016-07-22-11:25,한양대사거리,13
2016-07-22-11:25,건건천복개주차장,8
2016-07-22-11:25,본오동한양아파트,7
2016-07-22-11:25,중앙주유소사거리,13
2016-07-22-11:25,와동 면허시험장,7
2016-07-22-11:25,선부동 벽산블루밍,15
2016-07-22-11:25,본오2차아파트,11
2016-07-22-11:25,한양연립,10
2016-07-22-11:25,둔배미공원,17
2016-07-22-11:25,비츠로테크 맞은편,9
2016-07-22-11:25,안산문화광장,11
2016-07-22-11:25,본오중학교,7
2016-07-22-11:25,수암동거주자우선주차장,5
2016-07-22-11:25,중앙역(2번출구),10
2016-07-22-11:25,신 안산대학교,13
2016-07-22-11:25,신길초등학교,0
2016-07-22-11:25,중앙역(신도시),11
2016-07-22-11:25,상록구노인복지회관,5
2016-07-22-11:25,준공업단지사거리,11
2016-07-22-11:25,당곡 운동장,3
2016-07-22-11:25,성안중학교,16
2016-07-22-11:25,기업은행 반월지점,12
2016-07-22-11:25,선부고등학교,12
2016-07-22-11:25,단원구노인복지회관,10
2016-07-22-11:25,송호고등학교,5
2016-07-22-11:25,사동 GS주유소,10
2016-07-22-11:25,반월공원,14
2016-07-22-11:25,다농마트사거리,10
2016-07-22-11:25,초지역,10
2016-07-22-11:25,한양대앞역(환승주차장),24
2016-07-22-11:25,호수공원 APT,2
2016-07-22-11:25,중앙도서관,21
2016-07-22-11:25,한양대앞역(농수산물 도매시장),4
2016-07-22-11:25,노적봉사거리,12
2016-07-22-11:25,선부1동 주민센터,12
2016-07-22-11:25,강서고,7
2016-07-22-11:25,송호중학교,12
2016-07-22-11:25,검찰청정문,9
2016-07-22-11:25,이동 주민센터,2
2016-07-22-11:25,부곡종합시장,11
2016-07-22-11:25,안산디자인문화고등학교,12
2016-07-22-11:25,원곡본동 주민센터,5
2016-07-22-11:25,일동주민센터,12
2016-07-22-11:25,월피동 광덕시장,9
2016-07-22-11:25,안산 식물원,6
2016-07-22-11:25,고잔역(신도시),4
2016-07-22-11:25,관산도서관,8
2016-07-22-11:25,화랑유원지 제2주차장,6
2016-07-22-11:25,와스타디움(롯데마트),5
2016-07-22-11:25,고잔1동주민센터,8
2016-07-22-11:25,와동체육공원,12
2016-07-22-11:25,안산대학교,7
2016-07-22-11:25,은하수공원,12
2016-07-22-11:25,단원미술관,4
2016-07-22-11:25,와동 주민센터,7
2016-07-22-11:25,다문화 지원센터,17
2016-07-22-11:25,부곡도서관,3
2016-07-22-11:25,수변공원,3
2016-07-22-11:25,산업단지공단 경기지역본부,1
